Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,English,Spanish,French
1678,461,buchstabieren,buchstabiere,,buchstabierst,,buchstabiert,buchstabierte,,buchstabiert,,buchstabierte,,buchstabiere,buchstabier,,buchstabiert,,haben,,spell,deletrear,épeler
1679,461,überarbeiten,überarbeite,,überarbeitest,,überarbeitet,überarbeitete,,überarbeitet,,überarbeitete,,überarbeite,,,überarbeitet,,haben,,revise,revisar,réviser
1680,461,vorbeigehen,gehe vorbei,,gehst vorbei,,geht vorbei,ging vorbei,,vorbeigegangen,,ginge vorbei,,geh vorbei,gehe vorbei,,geht vorbei,gehet vorbei,sein,,pass by,pasar,passer par là
1676,462,befestigen,befestige,,befestigst,,befestigt,befestigte,,befestigt,,befestigte,,befestige,,,befestigt,,haben,,attach,adjuntar,attacher
1675,464,inszenieren,inszeniere,,inszenierst,,inszeniert,inszenierte,,inszeniert,,inszenierte,,inszeniere,inszenier,,inszeniert,,haben,,stage,escenario,scène
1673,465,abkaufen,kaufe ab,,kaufst ab,,kauft ab,kaufte ab,,abgekauft,,kaufte ab,,kauf ab,,,kauft ab,,haben,,buy off,librarse de alguien comprándole,acheter
1674,465,abtreten,trete ab,,trittst ab,,tritt ab,trat ab,,abgetreten,,träte ab,,tritt ab,,,tretet ab,,haben,sein,relinquish,renunciar,renoncer
1672,466,übergehen,gehe über,,gehst über,,geht über,ging über,,übergegangen,,ginge über,,geh über,gehe über,,geht über,,sein,,pass over,pasar por alto,passer par-dessus
1671,467,auffordern,fordere auf,,forderst auf,,fordert auf,forderte auf,,aufgefordert,,forderte auf,,fordere auf,,,fordert auf,,haben,,request,pedido,demande
1667,468,zucken,zucke,,zuckst,,zuckt,zuckte,,gezuckt,,zuckte,,zucke,,,zuckt,zucket,haben,,twitch,contracción nerviosa,tic
1668,468,verüben,verübe,,verübst,,verübt,verübte,,verübt,,verübte,,verübe,,,verübt,,haben,,commit,comprometerse,commettre
1669,468,polieren,poliere,,polierst,,poliert,polierte,,poliert,,polierte,,poliere,polier,,poliert,,haben,,polishing,pulido,polissage
1670,468,erneuern,erneuere,,erneuerst,,erneuert,erneuerte,,erneuert,,erneuerte,,erneuere,,,erneuert,,haben,,renew,renovar,renouveler
1666,469,sinnen,sinne,,sinnst,,sinnt,sann,,gesonnen,,sänne,sönne,sinne,,,sinnt,,haben,,ponder,reflexionar,réfléchir
1664,470,herumlaufen,laufe herum,,läufst herum,,läuft herum,lief herum,,herumgelaufen,,liefe herum,,lauf herum,laufe herum,,lauft herum,,sein,,walk around,dar una vuelta,se promener
1665,470,verantworten,verantworte,,verantwortest,,verantwortet,verantwortete,,verantwortet,,verantwortete,,verantwort,verantworte,,verantwortet,,haben,,responsible,responsable,responsable
1663,471,strömen,ströme,,strömst,,strömt,strömte,,geströmt,,strömte,,ströme,,,strömt,,sein,,flow,fluir,couler
1660,472,entnehmen,entnehme,,entnimmst,,entnimmt,entnahm,,entnommen,,entnähme,,entnimm,,,entnehmt,,haben,,remove,eliminar,retirer
1661,472,auftragen,trage auf,,trägst auf,,trägt auf,trug auf,,aufgetragen,,trüge auf,,trag auf,trage auf,,tragt auf,,haben,,apply,aplicar,appliquer
1662,472,horchen,horche,,horchst,,horcht,horchte,,gehorcht,,horchte,,horch,horche,,horcht,,haben,,listen,escuchar,écouter
1659,473,schleudern,schleudere,,schleuderst,,schleudert,schleuderte,,geschleudert,,schleuderte,,schleuder,schleudere,,schleudert,,haben,sein,sling,honda,fronde
1658,474,pennen,penne,,pennst,,pennt,pennte,,gepennt,,pennte,,penne,,,pennt,,haben,,sleep,dormir,dormir
1657,476,vorfallen,—,,—,,fällt vor,—,,vorgefallen,,—,,—,,,—,,sein,,occur,ocurrir,se produire
1656,477,zwitschern,zwitschere,,zwitscherst,,zwitschert,zwitscherte,,gezwitschert,,zwitscherte,,zwitscher,,,zwitschert,,haben,,chirp,chirrido,gazouiller
1654,478,verschenken,verschenke,,verschenkst,,verschenkt,verschenkte,,verschenkt,,verschenkte,,verschenk,verschenke,,verschenkt,,haben,,give away,donar,révéler
1655,478,schlüpfen,schlüpfe,,schlüpfst,,schlüpft,schlüpfte,,geschlüpft,,schlüpfte,,schlüpfe,,,schlüpft,,sein,,slip,deslizar,glisser
1651,479,unterliegen,unterliege,,unterliegst,,unterliegt,unterlag,,unterlegen,,unterläge,,unterliege,unterlieg,,unterliegt,,haben,sein,subject to,sujeto a,sous réserve de
1652,479,vordringen,dringe vor,,dringst vor,,dringt vor,drang vor,,vorgedrungen,,dränge vor,,dring vor,dringe vor,,dringt vor,,sein,,advance,avance,avance
1653,479,ausgleichen,gleiche aus,,gleichst aus,,gleicht aus,glich aus,,ausgeglichen,,gliche aus,,gleiche aus,,,gleicht aus,,haben,,balance,balance,équilibre
1648,480,entschärfen,entschärfe,,entschärfst,,entschärft,entschärfte,,entschärft,,entschärfte,,entschärf,entschärfe,,entschärft,,haben,,defuse,desactivar,désamorcer
1649,480,unterstellen,unterstelle,,unterstellst,,unterstellt,unterstellte,,unterstellt,,unterstellte,,unterstelle,unterstell,,unterstellt,,haben,,assume,asumir,supposer
1650,480,berechtigen,berechtige,,berechtigst,,berechtigt,berechtigte,,berechtigt,,berechtigte,,berechtig,berechtige,,berechtigt,,haben,,authorize,autorizar,autoriser
1646,481,hinnehmen,nehme hin,,nimmst hin,,nimmt hin,nahm hin,,hingenommen,,nähme hin,,nimm hin,,,nehmt hin,,haben,,accept,aceptar,accepter
1647,481,anhaben,habe an,,hast an,,hat an,hatte an,,angehabt,,hätte an,,hab an,habe an,,habt an,,haben,,have on,llevar,avoir sur
1644,482,durchbrennen,brenne durch,,brennst durch,,brennt durch,brannte durch,,durchgebrannt,,brennte durch,,brenn durch,brenne durch,,brennt durch,,sein,haben,burn out,consumirse,griller
1645,482,entschlüsseln,entschlüssle,entschlüssele,entschlüsselst,,entschlüsselt,entschlüsselte,,entschlüsselt,,entschlüsselte,,entschlüssle,entschlüssele,,entschlüsselt,,haben,,decipher,descifrar,déchiffrer
1640,483,bessern,bessere,,besserst,,bessert,besserte,,gebessert,,besserte,,bessere,besser,,bessert,,haben,,improve,mejorar,améliorer
1641,483,aufschneiden,schneide auf,,schneidest auf,,schneidet auf,schnitt auf,,aufgeschnitten,,schnitte auf,,schneide auf,,,schneidet auf,,haben,,cut open,abrir,ouvrir
1642,483,vorbeischauen,schaue vorbei,,schaust vorbei,,schaut vorbei,schaute vorbei,,vorbeigeschaut,,schaute vorbei,,schau vorbei,schaue vorbei,,schaut vorbei,,haben,,stop by,detenerse,arrêtez-vous
1643,483,voraussetzen,setze voraus,,setzt voraus,,setzt voraus,setzte voraus,,vorausgesetzt,,setzte voraus,,setz voraus,setze voraus,,setzt voraus,,haben,,assume,asumir,supposer
1638,484,nageln,nagele,nagle,nagelst,,nagelt,nagelte,,genagelt,,nagelte,,nagele,,,nagelt,,haben,,nail,clavo,clou
1639,484,deaktivieren,deaktiviere,,deaktivierst,,deaktiviert,deaktivierte,,deaktiviert,,deaktivierte,,deaktiviere,deaktivier,,deaktiviert,,haben,,deactivate,desactivar,désactiver
1637,485,vernachlässigen,vernachlässige,,vernachlässigst,,vernachlässigt,vernachlässigte,,vernachlässigt,,vernachlässigte,,vernachlässig,vernachlässige,,vernachlässigt,,haben,,neglect,descuido,négligence
1635,489,beulen,beule,,beulst,,beult,beulte,,gebeult,,beulte,,beule,,,beult,,haben,,dent,mella,bosse
1636,489,zusammenkommen,komme zusammen,,kommst zusammen,,kommt zusammen,kam zusammen,,zusammengekommen,,käme zusammen,,komme zusammen,,,kommt zusammen,,sein,,come together,reunirse,se réunir
1634,490,geistern,geistere,,geisterst,,geistert,geisterte,,gegeistert,,geisterte,,geister,geistere,,geistert,,haben,sein,ghosts,fantasmas,spectres
1630,491,schummeln,schummle,schummele,schummelst,,schummelt,schummelte,,geschummelt,,schummelte,,schummle,schummele,,schummelt,,haben,,cheat,engañar,tricher
1631,491,niesen,niese,,niest,,niest,nieste,,geniest,,nieste,,niese,nies,,niest,,haben,,sneeze,estornudo,éternuer
1632,491,stottern,stottere,,stotterst,,stottert,stotterte,,gestottert,,stotterte,,stotter,stottere,,stottert,,haben,,stutter,tartamudear,bégayer
1633,491,mithalten,halte mit,,hältst mit,,hält mit,hielt mit,,mitgehalten,,hielte mit,,halte mit,,,haltet mit,,haben,,keep up,Mantenga,continuez
1628,492,beschwören,beschwöre,,beschwörst,,beschwört,beschwor,beschwur,beschworen,,beschwöre,beschwüre,beschwöre,,,beschwört,,haben,,summon,convocar,convoquer
1629,492,überspringen,überspringe,,überspringst,,überspringt,übersprang,,übersprungen,,überspränge,,überspring,überspringe,,überspringt,,haben,,skip,saltar,sauter
1626,493,belassen,belasse,,belässt,,belässt,beließ,,belassen,,beließe,,belass,belasse,,belasst,,haben,,leave,dejar,partir
1627,493,zuteilen,teile zu,,teilst zu,,teilt zu,teilte zu,,zugeteilt,,teilte zu,,teil zu,teile zu,,teilt zu,,haben,,allocate,asignar,allouer
1623,494,verborgen,verborge,,verborgst,,verborgt,verborgte,,verborgt,,verborgte,,verborg,verborge,,verborgt,,haben,,hidden,oculto,caché
1624,494,plagen,plage,,plagst,,plagt,plagte,,geplagt,,plagte,,plag,plage,,plagt,,haben,,plague,plaga,peste
1625,494,weiterhelfen,helfe weiter,,hilfst weiter,,hilft weiter,half weiter,,weitergeholfen,,hülfe weiter,hälfe weiter,hilf weiter,,,helft weiter,,haben,,help,ayuda,aide
1621,496,ausstatten,statte aus,,stattest aus,,stattet aus,stattete aus,,ausgestattet,,stattete aus,,statt aus,statte aus,,stattet aus,,haben,,equip,equipar,équiper
1622,496,beschimpfen,beschimpfe,,beschimpfst,,beschimpft,beschimpfte,,beschimpft,,beschimpfte,,beschimpfe,,,beschimpft,,haben,,insult,insulto,insulte
1619,498,flirten,flirte,,flirtest,,flirtet,flirtete,,geflirtet,,flirtete,,flirt,flirte,,flirtet,,haben,,flirt,coquetear,flirter
1620,498,vermischen,vermische,,vermischst,vermischt,vermischt,vermischte,,vermischt,,vermischte,,vermische,,,vermischt,,haben,,mix,mezcla,mélanger
1618,500,aufkreuzen,kreuze auf,,kreuzt auf,,kreuzt auf,kreuzte auf,,aufgekreuzt,,kreuzte auf,,kreuz auf,kreuze auf,,kreuzt auf,,sein,haben,show up,aparecer,se présenter
1616,502,zerschlagen,zerschlage,,zerschlägst,,zerschlägt,zerschlug,,zerschlagen,,zerschlüge,,zerschlag,zerschlage,,zerschlagt,,haben,,smashed,colocado,brisé
1617,502,zusammenstellen,stelle zusammen,,stellst zusammen,,stellt zusammen,stellte zusammen,,zusammengestellt,,stellte zusammen,,stelle zusammen,,,stellt zusammen,,haben,,put together,juntar,mettre ensemble
1614,504,verspotten,verspotte,,verspottest,,verspottet,verspottete,,verspottet,,verspottete,,verspotte,,,verspottet,,haben,,mock,imitar,se moquer
1615,504,abstoßen,stoße ab,,stößt ab,,stößt ab,stieß ab,,abgestoßen,,stieße ab,,stoße ab,,,stoßt ab,,haben,,repel,repeler,repousser
1613,505,eingeben,gebe ein,,gibst ein,,gibt ein,gab ein,,eingegeben,,gäbe ein,,gib ein,,,gebt ein,,haben,,input,aporte,saisir
1611,507,wegziehen,ziehe weg,,ziehst weg,,zieht weg,zog weg,,weggezogen,,zöge weg,,zieh weg,,,zieht weg,,sein,haben,pull away,arrancar,s'éloigner
1612,507,absteigen,steige ab,,steigst ab,,steigt ab,stieg ab,,abgestiegen,,stiege ab,,steig ab,steige ab,,steigt ab,,sein,,descend,bajar,descendre
1607,508,entsorgen,entsorge,,entsorgst,,entsorgt,entsorgte,,entsorgt,,entsorgte,,entsorg,entsorge,,entsorgt,,haben,,dispose,disponer,disposer
1608,508,beschatten,beschatte,,beschattest,,beschattet,beschattete,,beschattet,,beschattete,,beschatte,,,beschattet,,haben,,shade,sombra,ombre
1609,508,durchsagen,sage durch,,sagst durch,,sagt durch,sagte durch,,durchgesagt,,sagte durch,,sage durch,,,sagt durch,,haben,,announce,anunciar,annoncer
1610,508,vorspielen,spiele vor,,spielst vor,,spielt vor,spielte vor,,vorgespielt,,spielte vor,,spiel vor,spiele vor,,spielt vor,,haben,,act out,representar,agir
1605,509,brummen,brumme,,brummst,,brummt,brummte,,gebrummt,,brummte,,brumme,brumm,,brummt,,haben,,hum,tararear,hum
1606,509,bombardieren,bombardiere,,bombardierst,,bombardiert,bombardierte,,bombardiert,,bombardierte,,bombardiere,bombardier,,bombardiert,,haben,,bomb,bomba,bombe
1604,510,türken,türke,,türkst,,türkt,türkte,,getürkt,,türkte,,türke,,,türkt,,haben,,Turks,turcos,Turcs
1603,511,berücksichtigen,berücksichtige,,berücksichtigst,,berücksichtigt,berücksichtigte,,berücksichtigt,,berücksichtigte,,berücksichtige,,,berücksichtigt,,haben,,take into account,tener en cuenta,prendre en considération
1600,512,toben,tobe,,tobst,,tobt,tobte,,getobt,,tobte,,tob,tobe,,tobt,,haben,,rage,furia,rage
1601,512,raffinieren,raffiniere,,raffinierst,,raffiniert,raffinierte,,raffiniert,,raffinierte,,raffinier,raffiniere,,raffiniert,,haben,,refine,refinar,affiner
1602,512,verstummen,verstumme,,verstummst,,verstummt,verstummte,,verstummt,,verstummte,,verstumm,verstumme,,verstummt,,sein,,fall silent,quedarse en silencio,se taire
1599,513,zwiebeln,zwieble,zwiebele,zwiebelst,,zwiebelt,zwiebelte,,gezwiebelt,,zwiebelte,,zwieble,zwiebele,,zwiebelt,,haben,,onions,cebollas,oignons
1598,514,sabotieren,sabotiere,,sabotierst,,sabotiert,sabotierte,,sabotiert,,sabotierte,,sabotier,sabotiere,,sabotiert,,haben,,sabotage,sabotaje,sabotage
1596,516,einschätzen,schätze ein,,schätzt ein,,schätzt ein,schätzte ein,,eingeschätzt,,schätzte ein,,schätz ein,schätze ein,,schätzt ein,,haben,,assess,evaluar,évaluer
1597,516,vorhersagen,sage vorher,,sagst vorher,,sagt vorher,sagte vorher,,vorhergesagt,,sagte vorher,,sag vorher,sage vorher,,sagt vorher,,haben,,predict,predecir,prédire
1594,517,spendieren,spendiere,,spendierst,,spendiert,spendierte,,spendiert,,spendierte,,spendiere,spendier,,spendiert,,haben,,donate,donar,faire un don
1595,517,befassen,befasse,,befasst,,befasst,befasste,,befasst,,befasste,,befass,befasse,,befasst,,haben,,deal with,tratar con,traiter avec
1591,518,verspüren,verspüre,,verspürst,,verspürt,verspürte,,verspürt,,verspürte,,verspüre,,,verspürt,,haben,,feel,sentir,sentir
1592,518,beeinträchtigen,beeinträchtige,,beeinträchtigst,,beeinträchtigt,beeinträchtigte,,beeinträchtigt,,beeinträchtigte,,beeinträchtige,,,beeinträchtigt,,haben,,affect,afectar,affecter
1593,518,berufen,berufe,,berufst,,beruft,berief,,berufen,,beriefe,,beruf,,,beruft,,haben,,appointed,fijado,nommé
1590,519,schütten,schütte,,schüttest,,schüttet,schüttete,,geschüttet,,schüttete,,schütt,schütte,,schüttet,,haben,,pour,derramar,verser
1589,521,verschütten,verschütte,,verschüttest,,verschüttet,verschüttete,,verschüttet,,verschüttete,,verschütt,verschütte,,verschüttet,,haben,,spill,derramar,répandre
1588,522,abschleppen,schleppe ab,,schleppst ab,,schleppt ab,schleppte ab,,abgeschleppt,,schleppte ab,,schleppe ab,,,schleppt ab,,haben,,towing,remolque,remorquage
1585,525,überstürzen,überstürze,,überstürzt,,überstürzt,überstürzte,,überstürzt,,überstürzte,,überstürze,überstürz,,überstürzt,,haben,,rush,correr,se précipiter
1586,525,besteigen,besteige,,besteigst,,besteigt,bestieg,,bestiegen,,bestiege,,besteig,,,besteigt,,haben,,climb,trepar,grimper
1587,525,hinstellen,stelle hin,,stellst hin,,stellt hin,stellte hin,,hingestellt,,stellte hin,,stell hin,stelle hin,,stellt hin,,haben,,put down,poner,déposer
1584,526,nachschauen,schaue nach,,schaust nach,,schaut nach,schaute nach,,nachgeschaut,,schaute nach,,schau nach,schaue nach,,schaut nach,,haben,,look,mirar,regarder
1582,527,zubereiten,bereite zu,,bereitest zu,,bereitet zu,bereitete zu,,zubereitet,,bereitete zu,,bereite zu,,,bereitet zu,,haben,,prepare,preparar,préparer
1583,527,reinlassen,lasse rein,,lässt rein,,lässt rein,ließ rein,,reingelassen,,ließe rein,,lass rein,lasse rein,,lasst rein,,haben,,let in,dejar entrar,laisser entrer
1580,528,rudern,rudere,,ruderst,,rudert,ruderte,,gerudert,,ruderte,,rudere,ruder,,rudert,,sein,haben,rowing,remo,aviron
1581,528,entfliehen,entfliehe,,entfliehst,,entflieht,entfloh,,entflohen,,entflöhe,,entflieh,entfliehe,,entflieht,,sein,,escape,escapar,s'échapper
1579,530,niederschlagen,schlage nieder,,schlägst nieder,,schlägt nieder,schlug nieder,,niedergeschlagen,,schlüge nieder,,schlag nieder,schlage nieder,,schlagt nieder,,haben,,knock down,derribar,abattre
1577,531,überreichen,überreiche,,überreichst,,überreicht,überreichte,,überreicht,,überreichte,,überreich,überreiche,,überreicht,,haben,,hand over,Entregar,remettre
1578,531,renovieren,renoviere,,renovierst,,renoviert,renovierte,,renoviert,,renovierte,,renoviere,renovier,,renoviert,,haben,,renovate,renovar,rénover
1576,534,aufessen,esse auf,,isst auf,,isst auf,aß auf,,aufgegessen,,äße auf,,iss auf,,,esst auf,,haben,,eat up,comerse,dévorer
1574,536,weiden,weide,,weidest,,weidet,weidete,,geweidet,,weidete,,weide,,,weidet,,haben,,graze,pacer,pâturer
1575,536,reihen,reihe,,reihst,,reiht,reihte,,gereiht,,reihte,,reih,,,reiht,,haben,,rows,filas,lignes
1573,537,kitzeln,kitzele,kitzle,kitzelst,,kitzelt,kitzelte,,gekitzelt,,kitzelte,,kitzele,,,kitzelt,,haben,,tickle,cosquillas,chatouiller
1570,539,alarmieren,alarmiere,,alarmierst,,alarmiert,alarmierte,,alarmiert,,alarmierte,,alarmier,alarmiere,,alarmiert,,haben,,alert,alerta,alerte
1571,539,betonen,betone,,betonst,,betont,betonte,,betont,,betonte,,betone,,,betont,,haben,,emphasize,enfatizar,souligner
1572,539,verschicken,verschicke,,verschickst,,verschickt,verschickte,,verschickt,,verschickte,,verschick,verschicke,,verschickt,,haben,,send,enviar,envoyer
1569,540,färben,färbe,,färbst,,färbt,färbte,,gefärbt,,färbte,,färbe,,,färbt,,haben,,dyeing,tintura,teinture
1566,541,überholen,überhole,,überholst,,überholt,überholte,,überholt,,überholte,,überhol,überhole,,überholt,,haben,,overtake,adelantar,dépasser
1567,541,strafen,strafe,,strafst,,straft,strafte,,gestraft,,strafte,,strafe,straf,,straft,,haben,,punish,castigar,punir
1568,541,abriegeln,riegele ab,,riegelst ab,,riegelt ab,riegelte ab,,abgeriegelt,,riegelte ab,,riegele ab,,,riegelt ab,,haben,,seal off,cerrar,sceller
1562,542,schwänzen,schwänze,,schwänzt,,schwänzt,schwänzte,,geschwänzt,,schwänzte,,schwänze,schwänz,,schwänzt,,haben,,skip,saltar,sauter
1563,542,ausrasten,raste aus,,rastest aus,,rastet aus,rastete aus,,ausgerastet,,rastete aus,,rast aus,raste aus,,rastet aus,,sein,haben,freak out,desmadrarse,flipper
1564,542,auslachen,lache aus,,lachst aus,,lacht aus,lachte aus,,ausgelacht,,lachte aus,,lach aus,lache aus,,lacht aus,,haben,,laugh at,reírse de,se moquer de
1565,542,erhören,erhöre,,erhörst,,erhört,erhörte,,erhört,,erhörte,,erhöre,,,erhört,,haben,,hear,escuchar,entendre
1561,544,auszahlen,zahle aus,,zahlst aus,,zahlt aus,zahlte aus,,ausgezahlt,,zahlte aus,,zahl aus,zahle aus,,zahlt aus,,haben,,pay out,pagar,payer
1559,545,verabreichen,verabreiche,,verabreichst,,verabreicht,verabreichte,,verabreicht,,verabreichte,,verabreiche,,,verabreicht,,haben,,administer,administrar,administrer
1560,545,erhoffen,erhoffe,,erhoffst,,erhofft,erhoffte,,erhofft,,erhoffte,,erhoff,erhoffe,,erhofft,,haben,,hope,esperanza,espoir
1556,547,schrauben,schraube,,schraubst,,schraubt,schraubte,,geschraubt,,schraubte,,schraube,schraub,,schraubt,,haben,,screw,tornillo,vis
1557,547,schminken,schminke,,schminkst,,schminkt,schminkte,,geschminkt,,schminkte,,schmink,,,schminkt,,haben,,make up,constituir,se maquiller
1558,547,beheben,behebe,,behebst,,behebt,behob,,behoben,,behöbe,,behebe,,,behebt,,haben,,fix,arreglar,réparer
1555,548,schmieden,schmiede,,schmiedest,,schmiedet,schmiedete,,geschmiedet,,schmiedete,,schmiede,,,schmiedet,,haben,,forge,fragua,forge
1553,550,falten,falte,,faltest,,faltet,faltete,,gefaltet,gefalten,faltete,,falte,falt,,faltet,,haben,,fold,doblar,pli
1554,550,umfallen,falle um,,fällst um,,fällt um,fiel um,,umgefallen,,fiele um,,fall um,,,fallt um,,sein,,fall over,caerse,tomber
1551,552,erzielen,erziele,,erzielst,,erzielt,erzielte,,erzielt,,erzielte,,erziele,,,erzielt,,haben,,achieve,lograr,atteindre
1552,552,zusammenleben,lebe zusammen,,lebst zusammen,,lebt zusammen,lebte zusammen,,zusammengelebt,,lebte zusammen,,leb zusammen,lebe zusammen,,lebt zusammen,,haben,,live together,vivir juntos,vivre ensemble
1550,553,einweihen,weihe ein,,weihst ein,,weiht ein,weihte ein,,eingeweiht,,weihte ein,,weih ein,weihe ein,,weiht ein,,haben,,initiate,iniciado,initié
1549,554,schiffen,schiffe,,schiffst,,schifft,schiffte,,geschifft,,schiffte,,schiff,schiffe,,schifft,,haben,,ships,barcos,navires
1548,556,verzaubern,verzaubere,,verzauberst,,verzaubert,verzauberte,,verzaubert,,verzauberte,,verzauber,verzaubere,,verzaubert,,haben,,enchant,encantar,enchanter
1546,557,einfrieren,friere ein,,frierst ein,,friert ein,fror ein,,eingefroren,,fröre ein,,frier ein,friere ein,,friert ein,,sein,haben,freeze,congelar,geler
1547,557,abliefern,liefere ab,,lieferst ab,,liefert ab,lieferte ab,,abgeliefert,,lieferte ab,,liefer ab,liefere ab,,liefert ab,,haben,,deliver,entregar,livrer
1545,558,mitkriegen,kriege mit,,kriegst mit,,kriegt mit,kriegte mit,,mitgekriegt,,kriegte mit,,krieg mit,kriege mit,,kriegt mit,,haben,,get along,llevarse bien,se débrouiller
1543,559,aussterben,sterbe aus,,stirbst aus,,stirbt aus,starb aus,,ausgestorben,,stürbe aus,,stirb aus,,,sterbt aus,,sein,,extinction,extinción,extinction
1544,559,verkraften,verkrafte,,verkraftest,,verkraftet,verkraftete,,verkraftet,,verkraftete,,verkraft,verkrafte,,verkraftet,,haben,,cope,afrontar,faire face
1541,560,fortfahren,fahre fort,,fährst fort,,fährt fort,fuhr fort,,fortgefahren,,führe fort,,fahr fort,fahre fort,,fahrt fort,,sein,haben,continue,continuar,continuer
1542,560,sichten,sichte,,sichtest,,sichtet,sichtete,,gesichtet,,sichtete,,sichte,,,sichtet,,haben,,sight,vista,vue
1539,561,ankündigen,kündige an,,kündigst an,,kündigt an,kündigte an,,angekündigt,,kündigte an,,kündige an,,,kündigt an,,haben,,announce,anunciar,annoncer
1540,561,einbilden,bilde ein,,bildest ein,,bildet ein,bildete ein,,eingebildet,,bildete ein,,bilde ein,,,bildet ein,,haben,,imagine,imaginar,imaginer
1537,563,hungern,hungere,,hungerst,,hungert,hungerte,,gehungert,,hungerte,,hungere,,,hungert,,haben,,starve,morir de hambre,affamer
1538,563,abspielen,spiele ab,,spielst ab,,spielt ab,spielte ab,,abgespielt,,spielte ab,,spiele ab,,,spielt ab,,haben,,play,jugar,jouer
1536,564,lauschen,lausche,,lauschst,lauscht,lauscht,lauschte,,gelauscht,,lauschte,,lausche,lausch,,lauscht,,haben,,listen,escuchar,écouter
1533,567,abbiegen,biege ab,,biegst ab,,biegt ab,bog ab,,abgebogen,,böge ab,,bieg ab,biege ab,,biegt ab,,haben,sein,turn,doblar,tourner
1534,567,verbrauchen,verbrauche,,verbrauchst,,verbraucht,verbrauchte,,verbraucht,,verbrauchte,,verbrauche,,,verbraucht,,haben,,consume,consumir,consommer
1535,567,hinziehen,ziehe hin,,ziehst hin,,zieht hin,zog hin,,hingezogen,,zöge hin,,ziehe hin,zieh hin,,zieht hin,,sein,,pull over,volcar,arrêtez-vous
1532,568,verjagen,verjage,,verjagst,,verjagt,verjagte,,verjagt,,verjagte,,verjag,verjage,,verjagt,,haben,,chase away,ahuyentar,chasser
1531,570,scannen,scanne,,scannst,,scannt,scannte,,gescannt,,scannte,,scanne,scann,,scannt,,haben,,scan,escanear,balayage
1530,571,würdigen,würdige,,würdigst,,würdigt,würdigte,,gewürdigt,,würdigte,,würdig,würdige,,würdigt,,haben,,appreciate,agradecer,apprécier
1529,572,gebühren,gebühre,,gebührst,,gebührt,gebührte,,gebührt,,gebührte,,gebühre,,,gebührt,,haben,,fees,honorarios,frais
1526,573,hocken,hocke,,hockst,,hockt,hockte,,gehockt,,hockte,,hock,hocke,,hockt,,haben,sein,squat,agacharse,squatter
1527,573,steigern,steigere,,steigerst,,steigert,steigerte,,gesteigert,,steigerte,,steiger,steigere,,steigert,,haben,,increase,aumentar,augmenter
1528,573,absuchen,suche ab,,suchst ab,,sucht ab,suchte ab,,abgesucht,,suchte ab,,such ab,suche ab,,sucht ab,,haben,,search,buscar,recherche
1524,574,auffahren,fahre auf,,fährst auf,,fährt auf,fuhr auf,,aufgefahren,,führe auf,,fahr auf,fahre auf,,fahrt auf,,sein,,drive up,conducir hasta,monter
1525,574,aufwärmen,wärme auf,,wärmst auf,,wärmt auf,wärmte auf,,aufgewärmt,,wärmte auf,,wärme auf,,,wärmt auf,,haben,,warm up,calentamiento,réchauffer
1522,575,auferstehen,auferstehe,erstehe auf,auferstehst,erstehst auf,aufersteht,auferstand,erstand auf,auferstanden,,auferstünde,erstünde auf,aufersteh,auferstehe,,aufersteht,ersteht auf,sein,,resurrect,resucitar,ressusciter
1523,575,mitteln,mittle,mittel,mittelst,,mittelt,mittelte,,gemittelt,,mittelte,,mittle,mittel,,mittelt,,haben,,average,promedio,moyenne
1521,577,anstoßen,stoße an,stoß an,stößt an,,stößt an,stieß an,,angestoßen,,stieße an,,stoße an,stoß an,,stoßt an,,haben,sein,initiate,iniciado,initié
1518,578,wahrnehmen,nehme wahr,,nimmst wahr,,nimmt wahr,nahm wahr,,wahrgenommen,,nähme wahr,,nimm wahr,,,nehmt wahr,,haben,,perceive,percibir,percevoir
1519,578,züchten,züchte,,züchtest,,züchtet,züchtete,,gezüchtet,,züchtete,,züchte,,,züchtet,,haben,,breed,criar,race
1520,578,abschlachten,schlachte ab,,schlachtest ab,,schlachtet ab,schlachtete ab,,abgeschlachtet,,schlachtete ab,,schlachte ab,,,schlachtet ab,,haben,,slaughter,sacrificio,abattage
1516,579,losen,lose,,lost,,lost,loste,,gelost,,loste,,lose,,,lost,,haben,,solve,resolver,résoudre
1517,579,zerren,zerre,,zerrst,,zerrt,zerrte,,gezerrt,,zerrte,,zerr,zerre,,zerrt,,haben,,tug,tirón,remorqueur
1514,582,pflücken,pflücke,,pflückst,,pflückt,pflückte,,gepflückt,,pflückte,,pflücke,pflück,,pflückt,,haben,,pick,elegir,prendre
1515,582,verführen,verführe,,verführst,,verführt,verführte,,verführt,,verführte,,verführe,,,verführt,,haben,,seduce,seducir,séduire
1510,583,ausbreiten,breite aus,,breitest aus,,breitet aus,breitete aus,,ausgebreitet,,breitete aus,,breite aus,,,breitet aus,,haben,,spread,desparramar,propagé
